customer_id,full_name,email,gender,date_of_birth,city,region,signup_date,acquisition_channel,preferred_device,email_subscribed,loyalty_tier,annual_income_ghs,household_size
CUST009004,Nana Osei,nana.osei236@gmail.com,Female ,1988-01-09,Takoradi,Western,2024-05-13,Referral,Web Mobile,False,Bronze,,5
CUST900214, Afia Danso ,AFIA.DANSO623@GMAIL.COM,Female,2001-04-14,TAKORADI,Western,2022-08-30,Direct,,False,Gold,"GHS 17,079.18",8
CUST010505,Fatima Boateng,fatima.boateng620@outlook.com,Male,2001-07-13,Kumasi,Ashanti,2024-07-11,,,,Silver,41674.87,4
CUST011366,Grace Yeboah,grace.yeboah83@gmail.com,Female,1997-10-26,Accra,Greater Accra,15/07/2024,Referral,Android,1,Bronze,17950.38,3
CUST004116,Nana Ofori,nana.ofori882@gmail.com,Male,1994-06-18,Accra,Greater Accra,2026-02-27,Direct,Web Desktop,True,Gold,21212.94,1
CUST011549,Fiifi Alhassan,fiifi.alhassan174@gmail.com,Female,2003-02-12,Accra,Greater Accra,2026-02-13,Direct,iOS,True,Bronze,8927.48,5
CUST008125,Akosua Frimpong,akosua.frimpong377@hotmail.com,Male,1988-07-13,Koforidua,Eastern,2024-04-12,Email Campaign,Android,False,Silver,14408.07,6
CUST010863,Samuel Appiah,samuel.appiah837@yahoo.com, Male,1991-06-04,Tamale,Northern,2026-02-01,Organic Search,Android,True,Bronze,,1
CUST019922,Adwoa Darko,adwoa.darko483@yahoo.com,Female,1984-06-15,Tamale,Northern,2025-07-11,Email Campaign,Android,False,Bronze,7864.94,8
CUST019689,Emmanuel Quartey,emmanuel.quartey850@gmail.com,Male,1995-02-27, Bolgatanga ,,2026-06-27,N/A,Android,False,Silver,9736.39,4
CUST017103,Adwoa Asante  ,adwoa.asante231@outlook.com,Female,2008-10-03,SUNYANI,Bono,"January 22, 2025",N/A,Android,True,Platinum,14215.19,6
CUST016751,Yaw Yeboah,yaw.yeboah63@gmail.com,Female,1997-06-16,Takoradi,Western,17/04/2026,Paid Social,Android,True,Gold,14208.59,3
CUST001183,Dzifa Lartey,dzifa.lartey689@gmail.com,,"August 22, 2004",Takoradi,Western,2022-09-05,Influencer,iOS,TRUE,Silver,16038.73,2
CUST001711,Fatima Osei,,Female,1985-01-26,Tamale,Northern,2024-11-24,Paid Social,Web Desktop,False,Silver,6425.3,5
CUST005130,Kwaku Tetteh,kwaku.tetteh288@gmail.com,,1990-08-13,Cape Coast,Central,2024-12-10,Referral,Web Desktop,yes,Bronze,28200.0,4
CUST012340,Grace Owusu,grace.owusu649@hotmail.com,Male,21/07/1983,accra,Greater Accra,28/10/2024,,Android,FALSE,Silver,9384.64,2
