customer_id,full_name,email,gender,date_of_birth,city,region,signup_date,acquisition_channel,preferred_device,email_subscribed,loyalty_tier,annual_income_ghs,household_size,age
CUST007641,Akosua Mensah,akosua.mensah186@gmail.com,Male,1985-12-15,Tamale,Northern,2026-06-28,Referral,Android,True,Platinum,6697.46,3.0,40.5
CUST006691,Kwame Abubakar,kwame.abubakar593@gmail.com,Male,1992-05-26,Accra,Greater Accra,2026-06-28,Organic Search,Android,True,Bronze,21181.57,3.0,34.1
CUST009181,GIFTY LARTEY,gifty.lartey342@gmail.com,Male,1995-04-11,Tema,Greater Accra,2026-06-28,Email Campaign,Android,False,Bronze,12126.47,1.0,31.2
CUST019960,Ngozi Baidoo,ngozi.baidoo707@outlook.com,Male,1983-12-26,Bolgatanga,Upper East,2026-06-28,Influencer,Android,True,Bronze,14084.93,5.0,42.5
CUST009446,Zainab Asante,zainab.asante77@gmail.com,Male,2004-07-17,Bolgatanga,Upper East,2026-06-28,Organic Search,Android,False,Bronze,32166.39,8.0,22.0
CUST006681,Kwame Yeboah,kwame.yeboah795@outlook.com,Male,1999-06-20,Accra,Greater Accra,2026-06-28,Paid Social,Android,False,Bronze,13675.81,2.0,27.0
CUST015946,Sena Appiah,sena.appiah553@yahoo.com,Female,1983-12-15,Tamale,Northern,2026-06-28,Referral,Web Mobile,True,Silver,13833.49,4.0,42.5
CUST011785,Zainab Ahiable,zainab.ahiable773@gmail.com,Female,1996-12-08,Accra,Greater Accra,2022-07-21,Organic Search,Android,True,Bronze,12000.64,3.0,29.6
CUST015728,Akosua Sulemana,akosua.sulemana971@yahoo.com,Male,1996-04-09,Tema,Greater Accra,2022-07-20,Organic Search,Android,True,Bronze,15233.19,3.0,30.2
CUST000134,Isaac Alhassan,isaac.alhassan612@gmail.com,Male,2008-12-30,Kumasi,Ashanti,2022-07-20,Email Campaign,Android,False,Silver,27576.34,5.0,17.5
CUST015525,Comfort Mensah,comfort.mensah128@yahoo.com,Female,1992-06-05,Kumasi,Ashanti,2022-07-20,Email Campaign,Android,False,Bronze,9445.29,4.0,34.1
CUST000732,Daniel Adjei,daniel.adjei482@gmail.com,Female,1991-01-21,Kumasi,Ashanti,2022-07-20,Organic Search,Android,False,Bronze,29518.43,3.0,35.4
CUST014726,Nana Alhassan,nana.alhassan788@yahoo.com,Male,2004-12-19,Accra,Greater Accra,2022-07-20,Influencer,Android,True,Silver,37041.66,5.0,21.5
CUST004051,Grace Alhassan,grace.alhassan514@gmail.com,Female,1998-11-18,Takoradi,Western,2022-07-20,Influencer,Web Mobile,True,Silver,31165.5,7.0,27.6
CUST010306,Ngozi Quartey,ngozi.quartey992@gmail.com,Male,1990-01-25,Koforidua,Eastern,2022-07-20,Organic Search,Android,True,Gold,3824.58,3.0,36.4
CUST007925,akosua ofori,akosua.ofori309@gmail.com,Female,1987-11-04,Accra,Greater Accra,2022-07-19,Paid Social,Web Mobile,True,Bronze,18008.69,2.0,38.7
CUST004693,Kelvin Amoah,kelvin.amoah28@hotmail.com,Female,1980-01-24,Accra,Greater Accra,2026-06-28,Marketplace,Web Mobile,False,Bronze,30335.29,3.0,46.4
CUST004203,EMMANUEL NYARKO,emmanuel.nyarko139@gmail.com,Female,1985-04-30,Koforidua,Eastern,2026-06-28,Paid Social,iOS,True,Silver,6768.31,4.0,41.2
CUST001486,Priscilla Frimpong,priscilla.frimpong278@gmail.com,Female,1988-11-16,Accra,Greater Accra,2026-06-28,Direct,Web Mobile,False,Gold,7137.29,6.0,37.6
CUST009335,Ama Annan,ama.annan691@gmail.com,Female,1996-06-12,Accra,Greater Accra,2026-06-28,Organic Search,Android,True,Bronze,36864.41,3.0,30.0
CUST015073,Esi Tetteh,esi.tetteh93@gmail.com,Male,2006-08-26,Kumasi,Ashanti,2026-06-28,Influencer,Web Desktop,True,Platinum,10614.96,3.0,19.8
CUST000277,Selorm Boateng,selorm.boateng169@gmail.com,Female,1996-02-11,Accra,Greater Accra,2026-06-28,Referral,Web Mobile,False,Bronze,16709.75,3.0,30.4
CUST019147,Adwoa Alhassan,adwoa.alhassan130@gmail.com,Male,1986-05-16,Madina,Greater Accra,2026-06-28,Paid Social,Android,False,Bronze,19444.03,5.0,40.1
CUST009021,NGOZI AMOAH,ngozi.amoah841@yahoo.com,Female,1998-08-05,Takoradi,Western,2026-06-28,Direct,Android,True,Bronze,15359.02,4.0,27.9
CUST008052,Samuel Asante,samuel.asante533@gmail.com,Male,1994-04-18,Accra,Greater Accra,2026-06-28,Marketplace,Android,True,Gold,8242.74,5.0,32.2
CUST015598,Abdul Mensah,abdul.mensah408@outlook.com,Female,1997-10-21,Kumasi,Ashanti,2026-06-28,Paid Social,iOS,False,Platinum,16468.39,7.0,28.7
CUST004874,Kofi Nyarko,kofi.nyarko548@gmail.com,Male,1991-11-17,Accra,Greater Accra,2022-07-22,Marketplace,Web Desktop,True,Silver,6958.59,2.0,34.6
CUST007248,Kojo Danso,kojo.danso273@yahoo.com,Male,2009-07-10,Cape Coast,Central,2022-07-22,Email Campaign,Android,True,Silver,20136.89,3.0,17.0
CUST009172,Daniel Mensah,daniel.mensah110@yahoo.com,Male,1988-03-09,Sunyani,Bono,2022-07-21,Paid Social,Android,True,Bronze,7408.32,3.0,38.3
CUST015162,Joseph Abubakar,joseph.abubakar605@gmail.com,Male,1988-04-12,Accra,Greater Accra,2022-07-21,Organic Search,Android,False,Bronze,28238.74,4.0,38.2
CUST013969,Samuel Mensah,samuel.mensah939@outlook.com,Male,1999-10-23,Accra,Greater Accra,2022-07-21,Influencer,Web Desktop,True,Bronze,13206.27,5.0,26.7
CUST013883,Kwabena Lartey,kwabena.lartey680@gmail.com,Female,2000-02-11,Wa,Upper West,2022-07-21,Organic Search,Web Desktop,False,Bronze,13646.87,5.0,26.4
CUST000252,Abdul Ofori,abdul.ofori561@gmail.com,Male,1995-03-24,Techiman,Bono East,2022-07-21,Paid Social,Android,False,Bronze,21337.03,1.0,31.3
CUST016038,YAYRA AMOAH,yayra.amoah813@gmail.com,Female,1990-11-07,Kumasi,Ashanti,2022-07-24,Paid Social,Web Mobile,False,Bronze,16715.49,3.0,35.6
CUST012055,Daniel Yeboah,daniel.yeboah640@yahoo.com,Male,1995-06-30,Accra,Greater Accra,2022-07-24,Email Campaign,Android,True,Bronze,32786.03,4.0,31.0
CUST004220,Mary Boateng,mary.boateng808@gmail.com,Female,1987-03-18,Accra,Greater Accra,2022-07-24,Paid Social,Web Desktop,False,Bronze,13433.79,5.0,39.3
CUST013777,Abena Adjei,abena.adjei237@gmail.com,Female,2005-08-01,Koforidua,Eastern,2022-07-24,Influencer,Android,True,Silver,11653.0,2.0,20.9
CUST000665,Afia Lartey,afia.lartey280@gmail.com,Female,2002-06-09,Kumasi,Ashanti,2022-07-23,Organic Search,iOS,False,Bronze,25102.37,1.0,24.1
CUST012953,Arinze Darko,arinze.darko574@yahoo.com,Female,1991-07-07,Accra,Greater Accra,2022-07-23,Organic Search,Web Mobile,True,Bronze,22608.01,8.0,35.0
CUST003814,Selorm Amoah,selorm.amoah220@gmail.com,Male,2003-09-13,Accra,Greater Accra,2022-07-22,Marketplace,Web Desktop,True,Silver,17723.39,7.0,22.8
CUST005407,gifty osei,gifty.osei580@outlook.com,Female,1975-05-30,Accra,Greater Accra,2022-07-22,Paid Social,iOS,True,Silver,8291.29,1.0,51.1
CUST003638,Adjoa Baidoo,adjoa.baidoo231@hotmail.com,Male,2009-08-20,Kumasi,Ashanti,2022-07-22,Organic Search,iOS,True,Bronze,9991.13,1.0,16.9
CUST009548,Gifty Frimpong,gifty.frimpong697@gmail.com,Female,1993-05-27,Kumasi,Ashanti,2026-06-28,Paid Social,Web Mobile,True,Bronze,39486.45,4.0,33.1
CUST007080,Afia Abubakar,afia.abubakar775@yahoo.com,Female,1996-10-19,Accra,Greater Accra,2026-06-28,Email Campaign,iOS,False,Bronze,38456.7,1.0,29.7
CUST003568,Isaac Mensah,isaac.mensah754@gmail.com,Female,2002-07-03,Koforidua,Eastern,2026-06-28,Organic Search,Android,True,Gold,23106.55,5.0,24.0
CUST016186,Ibrahim Baidoo,ibrahim.baidoo754@gmail.com,Other,1988-11-05,Madina,Greater Accra,2026-06-28,Organic Search,Android,True,Bronze,7543.67,1.0,37.6
CUST011757,Yaw Tetteh,yaw.tetteh349@hotmail.com,Female,1999-06-24,Sunyani,Bono,2026-06-28,Marketplace,Android,True,Gold,10464.89,2.0,27.0
CUST017349,Selorm Danso,selorm.danso33@yahoo.com,Female,1978-02-14,Madina,Greater Accra,2026-06-28,Organic Search,Android,True,Bronze,13641.03,7.0,48.4
CUST004659,Kwame Sulemana,kwame.sulemana398@gmail.com,Male,1998-01-27,Kumasi,Ashanti,2026-06-28,Referral,Android,True,Silver,24017.46,7.0,28.4
CUST016858,Emmanuel Yeboah,emmanuel.yeboah622@gmail.com,Female,1996-12-30,Accra,Greater Accra,2026-06-28,Paid Social,Web Desktop,False,Bronze,18024.37,2.0,29.5
CUST017264,Akosua Adjei,akosua.adjei279@gmail.com,Male,1976-05-13,Obuasi,Ashanti,2026-06-28,Referral,Android,False,Silver,12916.45,1.0,50.1
